127.0.0.1 - - [18/Feb/2018:16:39:37 +0800] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:39:39 +0800] "GET /GamesWebApp/ HTTP/1.1" 200 15159
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:39:39 +0800] "GET /GamesWebApp/assets/css/material-bootstrap-wizard.css HTTP/1.1" 200 50060
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:39:39 +0800] "GET /GamesWebApp/assets/css/bootstrap.min.css HTTP/1.1" 200 122541
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:39:39 +0800] "GET /GamesWebApp/assets/js/jquery-2.2.4.min.js HTTP/1.1" 200 85578
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:39:39 +0800] "GET /GamesWebApp/assets/js/jquery.bootstrap.js HTTP/1.1" 200 17501
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:39:39 +0800] "GET /GamesWebApp/assets/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:39:39 +0800] "GET /GamesWebApp/assets/js/games.js HTTP/1.1" 200 9645
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:39:39 +0800] "GET /GamesWebApp/assets/js/jquery.validate.min.js HTTP/1.1" 200 21090
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:39:42 +0800] "GET /GamesWebApp/assets/img/hitman.jpg HTTP/1.1" 200 34301
0:0:0:0:0:0:0:1 - - [18/Feb/2018:16:41:27 +0800] "GET /GamesWebApp/games?action=start&optradio=introvert&optradio1=intuition&optradio2=feeling&optradio3=judging&optradio4=co-op&optradio5=yes HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [18/Feb/2018:20:12:28 +0800] "GET /GamesWebApp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Feb/2018:20:12:28 +0800] "GET /GamesWebApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2018:20:12:30 +0800] "GET /GamesWebApp/assets/js/games.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2018:20:12:30 +0800] "GET /GamesWebApp/assets/img/hitman.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2018:20:12:31 +0800] "GET /GamesWebApp/assets/img/favicon.png HTTP/1.1" 200 2761
0:0:0:0:0:0:0:1 - - [18/Feb/2018:20:12:46 +0800] "GET /GamesWebApp/ HTTP/1.1" 200 16041
0:0:0:0:0:0:0:1 - - [18/Feb/2018:20:12:47 +0800] "GET /GamesWebApp/assets/img/favicon.png HTTP/1.1" 200 2761
0:0:0:0:0:0:0:1 - - [18/Feb/2018:20:14:08 +0800] "GET /GamesWebApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Feb/2018:20:14:08 +0800] "GET /GamesWebApp/assets/img/favicon.png HTTP/1.1" 200 2761
